run_key,method,representation,k,seed,eps,min_samples,linkage,seconds,inertia,n_clusters,noise_ratio,silhouette,purity,nmi,rand_index,clustered_points,valid_dbscan_score
Spherical K-Means | Sentence embedding | K=20 | seed=43,Spherical K-Means,Sentence embedding,20.0,43.0,,,,0.09486269950866699,500.49542236328125,20,0.0,0.041407105174432066,0.551,0.24295460396724,0.7959424712356178,,
K-Means | Sentence embedding | K=20 | seed=43,K-Means,Sentence embedding,20.0,43.0,,,,0.11782169342041016,874.9486083984375,20,0.0,0.023894116961667423,0.555,0.2415348808223806,0.7955142571285643,,
Spherical K-Means | Sentence embedding | K=15 | seed=42,Spherical K-Means,Sentence embedding,15.0,42.0,,,,0.14325904846191406,509.2685241699219,15,0.0,0.048527709126054586,0.535,0.2409407324257886,0.7891750875437719,,
Spherical K-Means | Sentence embedding | K=15 | seed=43,Spherical K-Means,Sentence embedding,15.0,43.0,,,,0.12476968765258789,509.4508056640625,15,0.0,0.04700636330173528,0.5395,0.2353548178512458,0.7897718859429715,,
K-Means | Sentence embedding | K=15 | seed=43,K-Means,Sentence embedding,15.0,43.0,,,,0.19868040084838867,888.6372680664062,15,0.0,0.024583686047821733,0.5385,0.23355732965321083,0.7901370685342671,,
K-Means | Sentence embedding | K=15 | seed=42,K-Means,Sentence embedding,15.0,42.0,,,,0.1439669132232666,890.2247314453125,15,0.0,0.025116840006511022,0.523,0.23329790510878318,0.7892261130565282,,
Spherical K-Means | Sentence embedding | K=20 | seed=42,Spherical K-Means,Sentence embedding,20.0,42.0,,,,0.0583643913269043,498.9865417480469,20,0.0,0.04783939505871172,0.5325,0.22666359887707568,0.7924022011005503,,
K-Means | Sentence embedding | K=20 | seed=42,K-Means,Sentence embedding,20.0,42.0,,,,0.1079256534576416,873.7227783203125,20,0.0,0.025386436700218,0.5235,0.2205792704468623,0.7919349674837419,,
Spherical K-Means | Sentence embedding | K=10 | seed=42,Spherical K-Means,Sentence embedding,10.0,42.0,,,,0.16597867012023926,522.576904296875,10,0.0,0.04423980595158579,0.494,0.21052415524549006,0.7714847423711856,,
K-Means | Sentence embedding | K=10 | seed=42,K-Means,Sentence embedding,10.0,42.0,,,,0.24853038787841797,907.41943359375,10,0.0,0.023558057880612455,0.488,0.20934825524874423,0.772447223611806,,
K-Means | Sentence embedding | K=7 | seed=42,K-Means,Sentence embedding,7.0,42.0,,,,0.2762565612792969,925.62255859375,7,0.0,0.022233209832555566,0.478,0.2084231454299382,0.749367683841921,,
Spherical K-Means | Sentence embedding | K=7 | seed=42,Spherical K-Means,Sentence embedding,7.0,42.0,,,,0.21091508865356445,534.614501953125,7,0.0,0.04173283260199626,0.4725,0.20311694163341748,0.74848024012006,,
Spherical K-Means | Sentence embedding | K=7 | seed=43,Spherical K-Means,Sentence embedding,7.0,43.0,,,,0.14720463752746582,534.8152465820312,7,0.0,0.04333038938300473,0.464,0.20265228454595183,0.7333296648324162,,
Spherical K-Means | Sentence embedding | K=10 | seed=43,Spherical K-Means,Sentence embedding,10.0,43.0,,,,0.10925531387329102,525.0735473632812,10,0.0,0.04040513661548102,0.5115,0.202305110084266,0.767975987993997,,
K-Means | Sentence embedding | K=7 | seed=43,K-Means,Sentence embedding,7.0,43.0,,,,0.11390352249145508,926.0253295898438,7,0.0,0.022477574331377828,0.4605,0.20135293007768598,0.7307063531765883,,
Spherical K-Means | Sentence embedding | K=5 | seed=43,Spherical K-Means,Sentence embedding,5.0,43.0,,,,0.1464366912841797,544.2102661132812,5,0.0,0.04424948363603773,0.471,0.20013511912540494,0.726328664332166,,
K-Means | Sentence embedding | K=10 | seed=43,K-Means,Sentence embedding,10.0,43.0,,,,0.16615748405456543,910.3046875,10,0.0,0.020006829171541257,0.5015,0.1984225038029038,0.7668559279639819,,
K-Means | Sentence embedding | K=5 | seed=43,K-Means,Sentence embedding,5.0,43.0,,,,0.17305827140808105,940.3223876953125,5,0.0,0.023120007423070323,0.4725,0.19815996874650682,0.7274742371185593,,
Spherical K-Means | Sentence embedding | K=5 | seed=42,Spherical K-Means,Sentence embedding,5.0,42.0,,,,0.22484064102172852,544.2561645507812,5,0.0,0.04575938905623494,0.4605,0.19002030671645453,0.7200845422711356,,
K-Means | Sentence embedding | K=5 | seed=42,K-Means,Sentence embedding,5.0,42.0,,,,0.29917287826538086,940.5035400390625,5,0.0,0.02365411970669938,0.457,0.18566469266106547,0.7180650325162581,,
HAC | Sentence embedding | linkage=complete | K=7,HAC,Sentence embedding,7.0,,,,complete,0.2586548328399658,,7,0.0,0.01862928751206596,0.364,0.10632700596301847,0.6830843373493976,,
DBSCAN | Sentence embedding | eps=0.35 | min_samples=5,DBSCAN,Sentence embedding,,,0.35,5.0,,0.0061113834381103516,,7,0.31125,-0.004290011723421398,0.32304900181488205,0.09210993808600981,0.2585975911565748,551.0,True
K-Means | TF-IDF | K=10 | seed=42,K-Means,TF-IDF,10.0,42.0,,,,1.675922155380249,1907.4097900390625,10,0.0,0.002278235688878099,0.363,0.08238381611079232,0.7171775887943972,,
K-Means | TF-IDF | K=10 | seed=43,K-Means,TF-IDF,10.0,43.0,,,,1.636303186416626,1908.490234375,10,0.0,0.004774016634871093,0.3725,0.07949806971382524,0.7182416208104052,,
Spherical K-Means | TF-IDF | K=10 | seed=42,Spherical K-Means,TF-IDF,10.0,42.0,,,,1.3129782676696777,1603.4705810546875,10,0.0,0.00674057225237702,0.3715,0.07935441811391329,0.7308344172086043,,
K-Means | TF-IDF | K=15 | seed=42,K-Means,TF-IDF,15.0,42.0,,,,2.514765739440918,1900.5953369140625,15,0.0,0.0030597408330917592,0.355,0.07868307985067197,0.7376648324162081,,
HAC | TF-IDF | linkage=complete | K=7,HAC,TF-IDF,7.0,,,,complete,0.3258483409881592,,7,0.0,0.004758308247847198,0.336,0.07849947658841358,0.5983293172690763,,
K-Means | TF-IDF | K=7 | seed=43,K-Means,TF-IDF,7.0,43.0,,,,2.3007264137268066,1914.5264892578125,7,0.0,0.00594880743820184,0.361,0.0774871046679797,0.6628534267133567,,
Spherical K-Means | TF-IDF | K=15 | seed=42,Spherical K-Means,TF-IDF,15.0,42.0,,,,0.7297077178955078,1582.47802734375,15,0.0,0.006950892068974119,0.3685,0.07418692917263724,0.7490560280140071,,
K-Means | TF-IDF | K=20 | seed=43,K-Means,TF-IDF,20.0,43.0,,,,1.156904935836792,1894.00390625,20,0.0,0.003871039640169912,0.3625,0.073605767449597,0.7470610305152576,,
Spherical K-Means | TF-IDF | K=10 | seed=43,Spherical K-Means,TF-IDF,10.0,43.0,,,,0.9062798023223877,1598.997314453125,10,0.0,0.006045839538259961,0.3665,0.07170480401249335,0.7254517258629315,,
Spherical K-Means | TF-IDF | K=20 | seed=43,Spherical K-Means,TF-IDF,20.0,43.0,,,,0.8221454620361328,1565.8984375,20,0.0,0.0032415701564059603,0.3695,0.07114397627365004,0.7635152576288144,,
HAC | TF-IDF | linkage=average | K=7,HAC,TF-IDF,7.0,,,,average,0.25406575202941895,,7,0.0,0.015955880422065593,0.312,0.07032484570459636,0.30371084337349397,,
Spherical K-Means | TF-IDF | K=7 | seed=43,Spherical K-Means,TF-IDF,7.0,43.0,,,,0.6537582874298096,1615.593994140625,7,0.0,0.006315118096305576,0.367,0.06989899922847352,0.6781220610305153,,
HAC | Sentence embedding | linkage=average | K=7,HAC,Sentence embedding,7.0,,,,average,0.24187588691711426,,7,0.0,0.03646524918461238,0.316,0.06922970654195726,0.23643373493975903,,
Spherical K-Means | TF-IDF | K=15 | seed=43,Spherical K-Means,TF-IDF,15.0,43.0,,,,0.39725351333618164,1585.4522705078125,15,0.0,-0.0011577376642799093,0.3565,0.0664362126382945,0.7530610305152576,,
HAC | TF-IDF | linkage=single | K=7,HAC,TF-IDF,7.0,,,,single,0.3361966609954834,,7,0.0,0.005966128441922174,0.32,0.06437310614021499,0.22586345381526104,,
K-Means | TF-IDF | K=20 | seed=42,K-Means,TF-IDF,20.0,42.0,,,,0.8060483932495117,1892.6878662109375,20,0.0,0.005826231052789479,0.3615,0.06386512225826346,0.7668984492246123,,
K-Means | TF-IDF | K=5 | seed=42,K-Means,TF-IDF,5.0,42.0,,,,1.3115017414093018,1926.02294921875,5,0.0,0.004062526470997753,0.3345,0.06332942803539116,0.5712381190595298,,
Spherical K-Means | TF-IDF | K=20 | seed=42,Spherical K-Means,TF-IDF,20.0,42.0,,,,0.6848232746124268,1561.0118408203125,20,0.0,0.006916065224552584,0.359,0.062393106274788085,0.772560780390195,,
K-Means | TF-IDF | K=7 | seed=42,K-Means,TF-IDF,7.0,42.0,,,,1.3093287944793701,1918.322509765625,7,0.0,0.005443904801816246,0.342,0.06170039910187558,0.6845627813906954,,
K-Means | TF-IDF | K=5 | seed=43,K-Means,TF-IDF,5.0,43.0,,,,0.9477527141571045,1926.587158203125,5,0.0,0.003278381082907684,0.3405,0.059951475189835686,0.664743371685843,,
Spherical K-Means | TF-IDF | K=5 | seed=43,Spherical K-Means,TF-IDF,5.0,43.0,,,,1.2967591285705566,1633.7469482421875,5,0.0,0.0053995395808011945,0.339,0.05754107802967335,0.6689149574787394,,
HAC | Sentence embedding | linkage=single | K=7,HAC,Sentence embedding,7.0,,,,single,0.37613725662231445,,7,0.0,0.016820044809726792,0.308,0.05431753882431144,0.21873092369477912,,
Spherical K-Means | TF-IDF | K=5 | seed=42,Spherical K-Means,TF-IDF,5.0,42.0,,,,1.3429362773895264,1636.63720703125,5,0.0,0.005879257966972511,0.3235,0.05279220011197627,0.6051530765382691,,
Spherical K-Means | TF-IDF | K=7 | seed=42,Spherical K-Means,TF-IDF,7.0,42.0,,,,1.134032964706421,1621.314453125,7,0.0,0.0057492910081758785,0.334,0.0501524224283792,0.6885002501250626,,
DBSCAN | TF-IDF | eps=0.9 | min_samples=5,DBSCAN,TF-IDF,,,0.9,5.0,,0.0028269290924072266,,4,0.28,0.005583600589581786,0.3038194444444444,0.03931293259189127,0.21914855072463768,576.0,True
DBSCAN | Sentence embedding | eps=0.35 | min_samples=10,DBSCAN,Sentence embedding,,,0.35,10.0,,0.005133628845214844,,2,0.4275,0.04327040449998353,0.2925764192139738,0.02405486958136814,0.2061957134530305,458.0,True
K-Means | TF-IDF | K=15 | seed=43,K-Means,TF-IDF,15.0,43.0,,,,0.15137815475463867,1926.7388916015625,15,0.0,-0.007669183594532336,0.3045,0.01678714739972897,0.2024312156078039,,
DBSCAN | TF-IDF | eps=0.7 | min_samples=5,DBSCAN,TF-IDF,,,0.7,5.0,,0.004775285720825195,,2,0.98625,,,,,11.0,False
DBSCAN | TF-IDF | eps=0.7 | min_samples=10,DBSCAN,TF-IDF,,,0.7,10.0,,0.0028181076049804688,,0,1.0,,,,,0.0,False
DBSCAN | TF-IDF | eps=0.8 | min_samples=5,DBSCAN,TF-IDF,,,0.8,5.0,,0.0022881031036376953,,7,0.935,,,,,52.0,False
DBSCAN | TF-IDF | eps=0.8 | min_samples=10,DBSCAN,TF-IDF,,,0.8,10.0,,0.001993417739868164,,0,1.0,,,,,0.0,False
DBSCAN | TF-IDF | eps=0.9 | min_samples=10,DBSCAN,TF-IDF,,,0.9,10.0,,0.0038595199584960938,,6,0.6799999999999999,,,,,256.0,False
DBSCAN | TF-IDF | eps=0.95 | min_samples=5,DBSCAN,TF-IDF,,,0.95,5.0,,0.010189056396484375,,1,0.003750000000000031,,,,,797.0,False
DBSCAN | TF-IDF | eps=0.95 | min_samples=10,DBSCAN,TF-IDF,,,0.95,10.0,,0.006944179534912109,,1,0.003750000000000031,,,,,797.0,False
DBSCAN | Sentence embedding | eps=0.15 | min_samples=5,DBSCAN,Sentence embedding,,,0.15,5.0,,0.0033829212188720703,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.15 | min_samples=10,DBSCAN,Sentence embedding,,,0.15,10.0,,0.00692439079284668,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.2 | min_samples=5,DBSCAN,Sentence embedding,,,0.2,5.0,,0.006399631500244141,,2,0.9875,,,,,10.0,False
DBSCAN | Sentence embedding | eps=0.2 | min_samples=10,DBSCAN,Sentence embedding,,,0.2,10.0,,0.00482177734375,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.25 | min_samples=5,DBSCAN,Sentence embedding,,,0.25,5.0,,0.005452871322631836,,9,0.92875,,,,,57.0,False
DBSCAN | Sentence embedding | eps=0.25 | min_samples=10,DBSCAN,Sentence embedding,,,0.25,10.0,,0.0033223628997802734,,0,1.0,,,,,0.0,False
DBSCAN | Sentence embedding | eps=0.3 | min_samples=5,DBSCAN,Sentence embedding,,,0.3,5.0,,0.003304719924926758,,19,0.735,,,,,212.0,False
DBSCAN | Sentence embedding | eps=0.3 | min_samples=10,DBSCAN,Sentence embedding,,,0.3,10.0,,0.0025625228881835938,,3,0.9475,,,,,42.0,False
DBSCAN | Sentence embedding | eps=0.4 | min_samples=5,DBSCAN,Sentence embedding,,,0.4,5.0,,0.0048067569732666016,,1,0.04125000000000001,,,,,767.0,False
DBSCAN | Sentence embedding | eps=0.4 | min_samples=10,DBSCAN,Sentence embedding,,,0.4,10.0,,0.006036043167114258,,1,0.053749999999999964,,,,,757.0,False
